id,source,target,labels,weight
4abd1078b92a2d849574aeb4f063867b,refactoring_guru.strategy.example.Demo,refactoring_guru.strategy.example.order.Order,calls,6
ed01159880cda58e8ebda1ef352576cc,refactoring_guru.strategy.example.strategies,refactoring_guru.strategy.example.strategies.PayByPayPal,contains,1
fe31d300e8287ec252178b29212c41a8,refactoring_guru.strategy.example.Demo,refactoring_guru.strategy.example.strategies.PayStrategy,calls,1
8cc1a8a68f5415e14fb8c2a8a298947d,refactoring_guru.strategy.example.strategies.PayByCreditCard,refactoring_guru.strategy.example.strategies.CreditCard,holds,1
d054bbcda74ef19925380fa6d4d846f7,refactoring_guru.strategy.example.strategies,refactoring_guru.strategy.example.strategies.CreditCard,contains,1
3dc3e8c93f2025b0a66765fcd06c0dda,refactoring_guru.strategy,refactoring_guru.strategy.example,contains,1
bf19b0af7be42b026479dc05ed4c0c4f,refactoring_guru.strategy.example.Demo,java.lang.String,calls,3
455407b464d815a1534de1866f2e6ff9,refactoring_guru.strategy.example.order.Order,boolean,returns,1
82ef48405b4d74c6e3107f3299db7ea2,refactoring_guru.strategy.example.order.Order,int,returns,1
e2328a0f6f3f7770fcd542301b2f7c7e,refactoring_guru.strategy.example.order.Order,boolean,holds,1
2c1a2f9af7a26b3b5ed9c606a2e65229,refactoring_guru.strategy.example.strategies.PayByPayPal,java.lang.String,holds,4
002158e729fd5e5cf6da06ddf7fff0df,refactoring_guru.strategy.example.order.Order,int,accepts,1
5fa83d591bcf40c4a5339fda4218e633,refactoring_guru.strategy.example.strategies.CreditCard,java.lang.String,holds,3
a352ef00b217312da471429ee8104c40,refactoring_guru.strategy.example.order,refactoring_guru.strategy.example.order.Order,contains,1
cb53d800a4f4b2938af81740077872fe,refactoring_guru.strategy.example.Demo,refactoring_guru.strategy.example.strategies.PayByPayPal,constructs,1
3f45a15b4bd5f31eb9b8133818fc07ca,refactoring_guru.strategy.example.Demo,refactoring_guru.strategy.example.order.Order,holds,1
1ac1a6b21a4bf2dcd0e19ed4610fb192,refactoring_guru.strategy.example.strategies.PayStrategy,int,accepts,1
50b3fede2244b5ad4588c96e3ad0f675,refactoring_guru.strategy.example,refactoring_guru.strategy.example.order,contains,1
dd524962e0f2d46982f24d341c33792c,refactoring_guru.strategy.example.strategies.PayStrategy,boolean,returns,1
f3baab4b15005906884d431cb3e8519a,refactoring_guru.strategy.example.order.Order,int,holds,1
aff22a991451c5700cd6dc64a84627d8,refactoring_guru.strategy.example.Demo,refactoring_guru.strategy.example.strategies.PayByCreditCard,constructs,1
b35013f5fcb101784441ff3eb9ca4b68,refactoring_guru.strategy.example.order.Order,refactoring_guru.strategy.example.strategies.PayStrategy,calls,1
dcdff85de97a7ef5d5d47dd8b56f2006,refactoring_guru.strategy.example.strategies.CreditCard,int,accepts,1
5938c7deff5c708848c1c3ac0e976aa5,refactoring_guru.strategy.example.strategies.PayByCreditCard,refactoring_guru.strategy.example.strategies.CreditCard,constructs,1
